,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel44,5,9,9,9,7,3,"[1379, 1380, 1381, 1382, 1383, 1383, 1384, 1384]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,4,6,180
1,maxModel44,5,14,9,14,7,6,"[1305, 1306, 1307, 1308, 1308, 1309, 1316, 1317, 1318, 1319, 1319, 1320]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [8, 13], [8, 14], [8, 13], [8, 14], [9, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (1, 0)]","[7, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",2,4,8,180
2,maxModel44,3,1,11,1,7,9,"[1307, 1310, 1311, 1311, 1312, 1313, 1313, 1314, 1314, 1315, 1315, 1316, 1317, 1317]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 5], [7, 4], [7, 3], [7, 2], [8, 2], [9, 2], [10, 2], [10, 1], [11, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",1,8,8,0
3,maxModel44,3,14,11,14,7,7,"[1305, 1305, 1306, 1307, 1308, 1308, 1309, 1310, 1310, 1311, 1312]","[(7, 7), [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [4, 14], [3, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,8,7,180
4,maxModel44,9,4,9,10,2,7,"[1307, 1308, 1309, 1310, 1311, 1312, 1312, 1313, 1313, 1314]","[(2, 7), [3, 7], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [8, 9], [9, 9], [9, 10]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,90
5,maxModel44,10,4,10,10,4,7,"[1309, 1313, 1317, 1321, 1322, 1323, 1323, 1324, 1324]","[(4, 7), [5, 7], [6, 7], [7, 7], [7, 6], [8, 6], [9, 6], [9, 5], [9, 4], [10, 4]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0)]","[8, 4]","[0, 0, 0, 0, 0, 0, 1, 0, 0]",2,6,6,90
6,maxModel44,12,4,12,10,4,7,"[1305, 1306, 1307, 1308, 1309, 1309, 1310, 1311, 1311, 1312, 1313]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [11, 8], [11, 9], [12, 9], [12, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,8,90
7,maxModel44,9,3,9,11,3,7,"[1305, 1305, 1306, 1307, 1307, 1308, 1309, 1310, 1310, 1312, 1312, 1313]","[(3, 7), [4, 7], [5, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [9, 3]]","[(1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[3, 8]","[0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]",2,8,6,90
8,maxModel44,10,5,10,9,3,7,"[1304, 1305, 1305, 1306, 1307, 1308, 1309, 1309, 1310]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,90
9,maxModel44,3,10,11,10,7,3,"[1303, 1304, 1304, 1305, 1306, 1306, 1308, 1308, 1309, 1309, 1310]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [11, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]",special,8,7,180
