,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel10,14,5,14,9,8,7,"[1574, 1581, 1585, 1591, 1594, 1596, 1599, 1604, 1607, 1613]","[(8, 7), [8, 8], [9, 8], [9, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9], [13, 9], [14, 9]]","[(0, 1), (1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 4]","[1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",2,4,6,90
1,maxModel10,12,3,12,11,5,7,"[1310, 1314, 1319, 1324, 1329, 1333, 1336, 1342, 1346, 1354, 1357, 1365, 1368]","[(5, 7), [5, 6], [6, 6], [7, 6], [7, 7], [7, 8], [8, 8], [9, 8], [9, 9], [9, 10], [10, 10], [11, 10], [12, 10], [12, 11]]","[(0, -1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]",[4],"[1, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 2]",1,8,7,90
2,maxModel10,13,3,13,11,5,7,"[1315, 1320, 1328, 1337, 1341, 1346, 1356, 1366, 1370, 1375, 1380, 1385]","[(5, 7), [6, 7], [6, 6], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [11, 4], [11, 3], [12, 3], [13, 3]]","[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,8,8,90
3,maxModel10,1,3,1,11,7,7,"[1315, 1322, 1326, 1329, 1333, 1337, 1341, 1344, 1348, 1356, 1362, 1367]","[(7, 7), [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [4, 4], [5, 4], [5, 3], [4, 3], [3, 3], [2, 3], [1, 3]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[7],"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,8,6,270
4,maxModel10,9,4,9,10,3,7,"[1315, 1319, 1322, 1326, 1328, 1333, 1339, 1342, 1346, 1348, 1353]","[(3, 7), [4, 7], [5, 7], [5, 8], [6, 8], [7, 8], [7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [9, 10]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]","[6, 2]","[0, 2, 2, 0, 0, 0, 0, 2, 2, 2, 0]",2,6,6,90
5,maxModel10,3,4,3,10,10,7,"[1326, 1339, 1345, 1353, 1359, 1363, 1368, 1372, 1375, 1380]","[(10, 7), [10, 6], [9, 6], [8, 6], [7, 6], [7, 5], [6, 5], [6, 4], [5, 4], [4, 4], [3, 4]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,6,7,270
6,maxModel10,6,5,6,9,14,7,"[1307, 1308, 1309, 1310, 1311, 1312, 1314, 1314, 1315, 1316]","[(14, 7), [13, 7], [13, 8], [12, 8], [11, 8], [10, 8], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",0,4,8,270
7,maxModel10,13,4,13,10,5,7,"[1316, 1326, 1335, 1340, 1343, 1347, 1356, 1358, 1361, 1365, 1369, 1377, 1380]","[(5, 7), [5, 8], [6, 8], [7, 8], [7, 9], [8, 9], [8, 10], [8, 9], [9, 9], [9, 10], [10, 10], [11, 10], [12, 10], [13, 10]]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, -1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[7],"[2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0]",1,6,8,90
8,maxModel10,5,10,9,10,7,3,"[1313, 1316, 1320, 1324, 1327, 1329, 1332, 1335, 1337, 1339, 1343, 1346, 1349]","[(7, 3), [7, 4], [7, 5], [8, 5], [9, 5], [8, 5], [8, 6], [9, 6], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10]]","[(0, 1), (0, 1), (1, 0), (1, 0), (-1, 0), (0, 1), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[8, 5]","[0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]",2,4,7,180
9,maxModel10,14,4,14,10,6,7,"[1312, 1317, 1322, 1325, 1330, 1336, 1340, 1344, 1353, 1357, 1361]","[(6, 7), [7, 7], [7, 8], [8, 8], [9, 8], [10, 8], [10, 9], [10, 10], [11, 10], [12, 10], [13, 10], [14, 10]]","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0]",special,6,8,90
